workload,PRAC_level,QPRAC,QPRAC+Proactive,QPRAC+Proactive-EA,QPRAC-Ideal
401.bzip2,1.0,1.000990580803396,1.0,1.0,1.0
401.bzip2,2.0,1.0010587997186775,1.0,1.0,1.0
401.bzip2,4.0,0.9982565755254782,1.0,1.0,1.0
403.gcc,1.0,1.0,1.0,1.0,1.0
403.gcc,2.0,1.0,1.0,1.0,1.0
403.gcc,4.0,1.0,1.0,1.0,1.0
429.mcf,1.0,0.9419213703641858,1.0,1.0,1.0
429.mcf,2.0,0.942630992317803,1.0,1.0,1.0
429.mcf,4.0,0.9416234112499017,1.0,1.0,1.0
433.milc,1.0,0.997433738838819,1.0,1.0,1.0
433.milc,2.0,0.9967388031297603,1.0,1.0,1.0
433.milc,4.0,0.9966852758927928,1.0,1.0,1.0
434.zeusmp,1.0,0.9730518490925634,1.0,1.0,1.0
434.zeusmp,2.0,0.9739487590792335,1.0,1.0,1.0
434.zeusmp,4.0,0.9716954932108011,1.0,1.0,1.0
435.gromacs,1.0,0.9999514851738966,1.0,1.0,1.0
435.gromacs,2.0,1.0000234032647854,1.0,1.0,1.0
435.gromacs,4.0,0.9998914573180896,1.0,1.0,1.0
436.cactusADM,1.0,0.9881183994025184,1.0,1.0,1.0
436.cactusADM,2.0,0.9840874209170014,1.0,1.0,1.0
436.cactusADM,4.0,0.9762618875031608,1.0,1.0,1.0
437.leslie3d,1.0,0.9913653822759293,1.0,1.0,1.0
437.leslie3d,2.0,0.9909899506434301,1.0,1.0,1.0
437.leslie3d,4.0,0.9890201696936339,1.0,1.0,1.0
444.namd,1.0,1.0,1.0,1.0,1.0
444.namd,2.0,1.0,1.0,1.0,1.0
444.namd,4.0,1.0,1.0,1.0,1.0
445.gobmk,1.0,0.9998907829452358,1.0,1.0,1.0
445.gobmk,2.0,1.000086114962963,1.0,1.0,1.0
445.gobmk,4.0,0.9998775084239218,1.0,1.0,1.0
447.dealII,1.0,1.0,1.0,1.0,1.0
447.dealII,2.0,1.0,1.0,1.0,1.0
447.dealII,4.0,1.0,1.0,1.0,1.0
450.soplex,1.0,0.954651201097635,1.0,1.0,1.0
450.soplex,2.0,0.9610607796017735,1.0,1.0,1.0
450.soplex,4.0,0.9626738533162801,1.0,1.0,1.0
456.hmmer,1.0,0.9970092543175919,1.0,1.0,1.0
456.hmmer,2.0,0.9968008525301749,1.0,1.0,1.0
456.hmmer,4.0,0.9963780403980425,1.0,1.0,1.0
458.sjeng,1.0,1.0,1.0,1.0,1.0
458.sjeng,2.0,0.9999627737120517,1.0,1.0,1.0
458.sjeng,4.0,0.9998958078567575,1.0,1.0,1.0
459.GemsFDTD,1.0,0.995519917446017,1.0,1.0,1.0
459.GemsFDTD,2.0,0.9944309264034629,1.0,1.0,1.0
459.GemsFDTD,4.0,0.9940916249812716,1.0,1.0,1.0
462.libquantum,1.0,0.9800012046366615,1.0,1.0,1.0
462.libquantum,2.0,0.9813016192141332,1.0,1.0,1.0
462.libquantum,4.0,0.9797641443938956,1.0,1.0,1.0
464.h264ref,1.0,0.9999668925984667,1.0,1.0,1.0
464.h264ref,2.0,1.000230667155599,1.0,1.0,1.0
464.h264ref,4.0,0.9993431246876621,1.0,1.0,1.0
470.lbm,1.0,0.972713592759113,1.0,1.0,1.0
470.lbm,2.0,0.9732101398205213,1.0,1.0,1.0
470.lbm,4.0,0.9727966662807205,1.0,1.0,1.0
471.omnetpp,1.0,0.9693766637152644,1.0,1.0,1.0
471.omnetpp,2.0,0.9590654023317329,1.0,1.0,1.0
471.omnetpp,4.0,0.9463341023256167,1.0,1.0,1.0
473.astar,1.0,0.9993089858053262,1.0,1.0,1.0
473.astar,2.0,0.9990781136562161,1.0,1.0,1.0
473.astar,4.0,0.9987697710503198,1.0,1.0,1.0
481.wrf,1.0,1.0,1.0,1.0,1.0
481.wrf,2.0,1.0,1.0,1.0,1.0
481.wrf,4.0,1.0,1.0,1.0,1.0
482.sphinx3,1.0,0.9813862387713608,1.0,1.0,1.0
482.sphinx3,2.0,0.9806770938962951,1.0,1.0,1.0
482.sphinx3,4.0,0.9792370648817881,1.0,1.0,1.0
483.xalancbmk,1.0,0.9625521571435184,1.0,1.0,1.0
483.xalancbmk,2.0,0.9633177072103456,1.0,1.0,1.0
483.xalancbmk,4.0,0.9597378288979223,1.0,1.0,1.0
500.perlbench,1.0,0.9992166667834241,1.0,1.0,1.0
500.perlbench,2.0,0.999189248933659,1.0,1.0,1.0
500.perlbench,4.0,0.999216366744077,1.0,1.0,1.0
502.gcc,1.0,0.9951065205562151,1.0,1.0,1.0
502.gcc,2.0,0.9968599945723703,1.0,1.0,1.0
502.gcc,4.0,0.9973349738027698,1.0,1.0,1.0
505.mcf,1.0,0.9931095794982507,1.0,1.0,1.0
505.mcf,2.0,0.9996239102084773,1.0,1.0,1.0
505.mcf,4.0,0.9957712574339278,1.0,1.0,1.0
507.cactuBSSN,1.0,0.9891480535299274,1.0,1.0,1.0
507.cactuBSSN,2.0,0.9870081907026266,1.0,1.0,1.0
507.cactuBSSN,4.0,0.981653073975682,1.0,1.0,1.0
508.namd,1.0,0.999985114993623,1.0,1.0,1.0
508.namd,2.0,0.9999912580061445,1.0,1.0,1.0
508.namd,4.0,1.000064813166789,1.0,1.0,1.0
510.parest,1.0,0.9787626937920173,1.0,1.0,1.0
510.parest,2.0,0.9807999797686626,1.0,1.0,1.0
510.parest,4.0,0.9775869016394502,1.0,1.0,1.0
511.povray,1.0,1.0,1.0,1.0,1.0
511.povray,2.0,1.0,1.0,1.0,1.0
511.povray,4.0,1.0,1.0,1.0,1.0
519.lbm,1.0,0.9737098137318366,1.0,1.0,1.0
519.lbm,2.0,0.974908499869393,1.0,1.0,1.0
519.lbm,4.0,0.9743870522908075,1.0,1.0,1.0
520.omnetpp,1.0,0.9848321287787991,1.0,1.0,1.0
520.omnetpp,2.0,0.9844529531719226,1.0,1.0,1.0
520.omnetpp,4.0,0.9828227123668472,1.0,1.0,1.0
523.xalancbmk,1.0,0.9957802571850274,1.0,1.0,1.0
523.xalancbmk,2.0,0.9973969736244506,1.0,1.0,1.0
523.xalancbmk,4.0,0.9963959899024489,1.0,1.0,1.0
525.x264,1.0,1.000000915194235,1.0,1.0,1.0
525.x264,2.0,1.0,1.0,1.0,1.0
525.x264,4.0,0.9998420569298531,1.0,1.0,1.0
526.blender,1.0,0.999999742306971,1.0,1.0,1.0
526.blender,2.0,0.999999742306971,1.0,1.0,1.0
526.blender,4.0,0.9998792260666417,1.0,1.0,1.0
531.deepsjeng,1.0,1.0,1.0,1.0,1.0
531.deepsjeng,2.0,1.0,1.0,1.0,1.0
531.deepsjeng,4.0,1.0,1.0,1.0,1.0
538.imagick,1.0,1.0,1.0,1.0,1.0
538.imagick,2.0,1.0,1.0,1.0,1.0
538.imagick,4.0,1.0,1.0,1.0,1.0
541.leela,1.0,1.0,1.0,1.0,1.0
541.leela,2.0,1.0,1.0,1.0,1.0
541.leela,4.0,1.0,1.0,1.0,1.0
544.nab,1.0,0.9998154877079567,1.0,1.0,1.0
544.nab,2.0,1.0000213132213576,1.0,1.0,1.0
544.nab,4.0,0.9997551893092937,1.0,1.0,1.0
549.fotonik3d,1.0,0.9955172867829731,1.0,1.0,1.0
549.fotonik3d,2.0,0.9945529348650581,1.0,1.0,1.0
549.fotonik3d,4.0,0.9940242877925635,1.0,1.0,1.0
557.xz,1.0,0.9947038669803643,1.0,1.0,1.0
557.xz,2.0,0.9942434511681623,1.0,1.0,1.0
557.xz,4.0,0.9924022833730294,1.0,1.0,1.0
grep_map0,1.0,1.000043038315203,1.0,1.0,1.0
grep_map0,2.0,0.9995849130095029,1.0,1.0,1.0
grep_map0,4.0,0.9993347951773264,1.0,1.0,1.0
h264_encode,1.0,1.0,1.0,1.0,1.0
h264_encode,2.0,1.0,1.0,1.0,1.0
h264_encode,4.0,1.0,1.0,1.0,1.0
jp2_decode,1.0,0.9901207201665108,1.0,1.0,1.0
jp2_decode,2.0,0.9904907774381743,1.0,1.0,1.0
